PARTNUMBER,SYMBOL,FOOTPRINT,COLOR,VOLTAGE,CURRENT,PACKAGE,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3
"LED00006","LED_NEOPIXEL_MINI","LED_3535_NEOPIXEL_MINI","RGB","5V",,"3535","DONGGUANG OPSCO OPTOELECTRONICS CO., LTD","SK6812MINI","LED RGB, ADDRESSABLE, 3535","04/29/16 00:00:00","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","Datasheet",,,,,"Digi-Key","1528-1541-ND","Adafruit","2686",,
"LED00009","LED","LED_0603_GREEN","GREEN","3.2 V","20 mA","0603","Wurth Electronics","150060GS75000","LED GREEN CLEAR 0603 SMD","09/22/17 00:00:00","http://katalog.we-online.de/led/datasheet/150060GS75000.pdf","Datasheet",,,,,"Digi-Key","732-4971-1-ND",,,,
"LED00010","LED","LED_0603_BLUE","BLUE","3.2 V","20 mA","0603","Wurth Electronics","150060BS75000","LED BLUE CLEAR 0603 SMD","09/22/17 00:00:00","http://katalog.we-online.de/led/datasheet/150060BS75000.pdf","Datasheet",,,,,"Digi-Key","732-4966-1-ND",,,,
"LED00001","LED","LED_SM1204SGC_BIVAR","GREEN","2.1","20mA","1204","BIVAR","SM1204SGC","LED GREEN 574NM WTR CLEAR 1204","08/21/11 00:00:00","http://www.bivar.com/images/cart/SM1204SGC.pdf","Datasheet",,,,,"Digi-Key","492-1233-1-ND",,,,
"LED00002","LTC-4727JR","DISPLAY_LTC-4727","RED","2","10mA","DIP-16","LITEON","LTC-4727JR","LED 7-SEG .4"" 4DGT SUPER RED CC","08/23/11 00:00:00","http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTC-4727JR.pdf","Datasheet",,,,,"Digi-Key","160-1551-5-ND",,,,
"LED00003","LED","LED_0402_1005M_RED","RED","1.95","20mA","0402","Kingbright","APHHS1005SURCK","LED 1X0.5MM 630NM RD WTR CLR SMD","10/01/11 00:00:00","http://www.us.kingbright.com/images/catalog/SPEC/APHHS1005SURCK.pdf","Datasheet",,,,,"Digi-Key","754-1104-1-ND",,,,
"LED00004","LED","LED_0402_1005M_GREEN","GREEN","2.1","20mA","0402","Kingbright","APHHS1005CGCK","LED 1X0.5MM 570NM GN WTR CLR SMD","10/01/11 00:00:00","http://www.us.kingbright.com/images/catalog/SPEC/APHHS1005CGCK.pdf","Datasheet",,,,,"Digi-Key","754-1101-1-ND",,,,
"LED00005","LED_LITEON_LTST-C19HE1WT","LED_0606_LITEON_RGB","RGB","2.1V,3.35V,3.35V","20mA","0606","LiteOn","LTST-C19HE1WT","LED RGB 615/525/470NM DIFF 0606","07/05/15 00:00:00","http://optoelectronics.liteon.com/upload/download/DS22-2008-0044/S_110_LTST-C19HE1WT.pdf","Datasheet",,,,,"Digi-Key","160-2162-1-ND",,,,
"LED00007","LED","LED_0603_RED","RED","1.9 V","20 mA","0603","Wurth Electronics","150060SS75000","LED RED CLEAR 0603 SMD","08/27/17 00:00:00","http://katalog.we-online.de/led/datasheet/150060SS75000.pdf","Datasheet",,,,,"Digi-Key","	732-4979-1-ND",,,,
"LED00011","LED","LED_0603_YELLOW","YELLOW","2V","20 mA","0603","Wurth Electronics","150060YS75000","LED YELLOW CLEAR 0603 SMD","09/22/17 00:00:00","http://katalog.we-online.de/led/datasheet/150060YS75000.pdf","Datasheet",,,,,"Digi-Key","732-4981-1-ND",,,,
"LED00008","LED","LED_0603_GREEN","GREEN","2 V","20 mA","0603","Wurth Electronics","150060VS75000","LED GREEN CLEAR 0603 SMD","08/17/27 00:00:00","http://katalog.we-online.de/led/datasheet/150060VS75000.pdf","Datasheet",,,,,"Digi-Key","732-4980-1-ND",,,,
