PARTNUMBER,SYMBOL,FOOTPRINT,DESCRIPTION,MANUFACTURER,MANUFACTURER_PART_NUMBER,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3,BOM_IGNORE
"M00020","NET_TIE","NET_TIE_SMD_8MIL","Net tie",,,,,,,,,,,,,,,,1
"M00028","OSHW","OSHW-Logo_7.5x8mm_SilkScreen","OSHW Logo",,,"10/12/18 00:00:00",,,,,,,,,,,,,1
"M00011","LI-VM34LP","MODULE_LI-VM034LP","LI-VM34LP",,,,,,,,,,,,,,,,0
"M00016","RES_PTC","PTC_2920_BEL","PTC  3.0A 15V","Bel Fuse","0ZCF0300AF2C","07/15/15 00:00:00","http://www.belfuse.com/pdfs/0ZCF.pdf","Series Datasheet",,,,,"Digi-Key","507-1753-1-ND",,,,,0
"M00025","HOLE_PLATED","STANDOFF_9774060360R","ROUND STANDOFF M3 STEEL 6MM","Wurth Electronics","9774060360R","08/28/17 00:00:00","http://katalog.we-online.de/em/datasheet/9774060360R.pdf","Drawing",,,,,"Digi-Key","732-5273-1-ND",,,,,0
"M00026","G12JVCF","SW_NKK_G12JVCF","SWITCH ILLUMINATED TOGGLE SPDT 0.4VA 28V","NKK Switches","G12JVCF","07/29/18 00:00:00","http://www.nkkswitches.com/pdf/gtogglesilluminated.pdf","Series Datasheet",,,,,"Digi-Key","360-1765-ND",,,,,0
"M00017","CK_PTS810","SW_PTS810","SWITCH TACTILE SPST-NO 0.05A 16V","C&K Components","PTS810 SJM 250 SMTR LFS","07/15/15 00:00:00","http://www.ck-components.com/80183/pts810_4mar13.pdf/","Series Datasheet",,,,,"Digi-Key","CKN10502CT-ND",,,,,0
"M00027","G13AV","SW_NKK_G13AV","SWITCH TOGGLE SPDT 0.4VA 28V","NKK Switches","G13AV","07/18/29 00:00:00","http://www.nkkswitches.com/pdf/Gtoggles.pdf","Series Datasheet",,,,,"Digi-Key","360-1770-ND",,,,,0
"M00013","BIVAR_PBLP-1001","BIVAR_PBLP-1001","LED Light Pipes Custom Push Button","Bivar","PBLP-1001","07/05/15 00:00:00","http://www.mouser.com/ds/2/50/PBLP-1001-186905.pdf","Drawing",,,,,"Mouser","749-PBLP-1001",,,,,0
"M00012","ESWITCH_TL1105JA","SW_TL1105JA","SWITCH TACTILE SPST-NO 0.05A 12V","E-Switch","TL1105JAF160Q","07/05/15 00:00:00","http://spec_sheets.e-switch.com/specs/P010205.pdf","Drawing","https://www.e-switch.com/system/asset/product_line/data_sheet/140/TL1105.pdf","Series Datasheet",,,"Digi-Key","EG1863-ND",,,,,0
"M00014","ESWITCH_TL1105JA","SW_TL1105S","SWITCH TACTILE SPST-NO 0.05A 12V","E-Switch","TL1105SF160Q","07/05/15 00:00:00","http://spec_sheets.e-switch.com/specs/P010299.pdf","Drawing","https://www.e-switch.com/system/asset/product_line/data_sheet/140/TL1105.pdf","Series Datasheet",,,"Digi-Key","EG1839-ND",,,,,0
"M00015","BOURNS_PEC09_SW","SW_PEC09-2320-S0015","ENCODER INCREMENTAL 9MM W/SWITCH","Bourns","PEC09-2320F-S0015","07/07/15 00:00:00","http://www.bourns.com/data/global/pdfs/PEC09.pdf","Series Datasheet",,,,,"Digi-Key","PEC09-2320F-S0015-ND",,,,,0
"M00018","DA10XJC","T_MURATA_DA10XJC","TRANSFORMER DIGITAL AUDIO 1:1","Murata","DA101JC","08/09/17 00:00:00","http://www.murata-ps.com/data/magnetics/kmp_da100j.pdf","Datasheet",,,,,"Digi-Key","811-3121-ND",,,,,0
"M00023","SW_SPST_SLIDE","SW_CK_L102XX1ML04X","SWITCH SLIDE SPDT 4A 125V","C&K Components","L102021ML04Q","08/26/17 00:00:00","http://www.ckswitches.com/media/1423/l.pdf","Series Datasheet",,,,,"Digi-Key","CKC5102-ND",,,,,0
"M00024","SW_DIP4","SW_CTS_219-4MST","	SWITCH SLIDE DIP SPST 100MA 20V","CTS Electrocomponents","219-4MST","08/27/17 00:00:00","https://www.ctscorp.com/wp-content/uploads/219.pdf","Series Datasheet",,,,,"Digi-Key","CT2194MST-ND",,,,,0
"M00019","DUAL_RCJ-04x_PLR135/T10","J_DUAL_CUI_RC-04x_EVERLIGHT_PLR135/T10","Dual Footprint RCA or TOSLINK Receiver",,,"08/11/17 00:00:00",,,,,,,,,,,,,0
"M00008","FID","FID_1000_2000","1mm Pad",,,,,,,,,,,,,,,,1
"M00009","FID","FID_500_1000","0.5mm Pad",,,,,,,,,,,,,,,,1
"M00010","NET_TIE","NET_TIE_SMD_4MIL","Net tie",,,,,,,,,,,,,,,,1
"M00001","NET_TIE","NET_TIE_SMD","Net tie",,,,,,,,,,,,,,,,1
"M00002","HOLE_PLATED","HOLE_6-32_PLATED","#6",,,,,,,,,,,,,,,,1
"M00003","HOLE_PLATED","HOLE_4-40_PLATED","#4",,,,,,,,,,,,,,,,1
"M00021","TP","TP_0805",,,,"08/21/17 00:00:00",,,,,,,"Digi-Key","	A106144CT-ND",,,,,0
"M00022","TP","TP_0603",,,,"08/21/17 00:00:00",,,,,,,"Digi-Key","A106145CT-ND",,,,,0
"M00005","HOLE_UNPLATED","HOLE_6-32","#6",,,,,,,,,,,,,,,,1
"M00006","HOLE_UNPLATED","HOLE_4-40","#4",,,,,,,,,,,,,,,,1
"M00007","TP","TP_35MIL",,,,,,,,,,,,,,,,,1
